"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"176","Amarone della Valpolicella Classico 2016","Italy","Amarone della Valpolicella Classico","Zenato",4.2,105,43.61,"tinto","2016"
"177","Potenti Toscana (Suvereto) 2015","Italy","Toscana","Petra",3.9,105,39.58,"tinto","2015"
"178","Trentatre 33 Rosso 2017","Italy","Salento","Rocca",3.6,105,6.95,"tinto","2017"
"179","Pievasciata Rosso 2016","Italy","Toscana","Vallepicciola",4.1,105,14.9,"tinto","2016"
"180","Brunello di Montalcino 2013","Italy","Brunello di Montalcino","Tenute Silvio Nardi",3.9,1050,35.5,"tinto","2013"
"181","The Barossan Shiraz 2017","Australia","Barossa Valley","Peter Lehmann",3.8,1051,16.48,"tinto","2017"
"182","Nero d'Avola 2017","Italy","Terre Siciliane","Colosi",3.8,1055,8.68,"tinto","2017"
"183","Bordeaux 2015","France","Bordeaux","Jean-Pierre Moueix",3.5,1056,10.21,"tinto","2015"
"184","Cabernet Sauvignon 2018","United States","California","Woodbridge by Robert Mondavi",3.4,1056,8.95,"tinto","2018"
"185","Tinto 2018","Portugal","Lisboa","Porta 6",3.7,1056,9.12,"tinto","2018"
"186","Délicate N.V.","South Africa","Stellenbosch","De Toren",4.1,1056,14.38,"tinto","2030"
"187","Aglianico Rubrato 2014","Italy","Irpinia","Feudi di San Gregorio",3.5,1057,10.95,"tinto","2014"
"188","Gran Verano Cabernet Sauvignon 2018","Chile","Central Valley","Apaltagua",3.4,1059,6.95,"tinto","2018"
"189","Grand Estates Merlot 2015","United States","Columbia Valley","Columbia Crest",3.7,1059,12.4,"tinto","2015"
"190","Saint-Julien (Grand Cru Classé) 2017","France","Saint-Julien","Château Beychevelle",4,106,86.76,"tinto","2017"
"191","Copa Santa La Méjanelle 2015","France","Languedoc","Clavel",4,106,17.9,"tinto","2015"
"192","Cantodoro 2016","Italy","Sicilia","Feudo Arancio",3.6,106,8.5,"tinto","2016"
"193","Vitiano San Lorenzo 2014","Italy","Castel San Lorenzo","Falesco",3.9,106,11.95,"tinto","2014"
"194","Disueri Nero d'Avola 2018","Italy","Sicilia","Cusumano",3.6,106,7.7,"tinto","2018"
"195","Kirschgarten Spatburgunder GG 2013","Germany","Pfalz","Knipser",4.2,106,39.95,"tinto","2013"
"196","B 2017","Spain","Ribera del Duero","Baden Numen",3.8,106,11.21,"tinto","2017"
"197","Pinot Noir 2017","Italy","Valle d'Aosta","Ottin - Viticulteur Encaveur",4,106,22.5,"tinto","2017"
"198","Protocolo Tinto 2018","Spain","Castilla","Dominio de Eguren",3.7,106,5.95,"tinto","2018"
"199","Rouge 2016","France","Bordeaux","Bad Boy (Mauvais Garçon)",3.9,106,16.9,"tinto","2016"
"200","Côte de Nuits Villages Le Vaucrain 2016","France","Côte de Nuits Villages","Louis Jadot",4,106,32,"tinto","2016"
"201","Vino Nobile di Montepulciano 2016","Italy","Vino Nobile di Montepulciano","Talosa",3.9,106,17.79,"tinto","2016"
"202","Yotuel Selección 2014","Spain","Ribera del Duero","Gallego Zapatero",3.6,106,15.75,"tinto","2014"
"203","Lanzaga Rioja 2014","Spain","Rioja","Telmo Rodriguez",3.8,106,19.95,"tinto","2014"
"204","Elysian Collection Merlot 2016","United States","California","Bonterra",3.8,106,26.7,"tinto","2016"
"205","La Tiare du Pape Châteauneuf-du-Pape Rouge 2015","France","Châteauneuf-du-Pape","Maison Bouachon",3.9,106,45,"tinto","2015"
"206","Spätburgunder Trocken 2015","Germany","Pfalz","Ökonomierat Rebholz",3.9,106,21.4,"tinto","2015"
"207","El Chocolatero Cariñena 2014","Spain","Cariñena","San Valero",3.2,106,7.75,"tinto","2014"
"208","Mas Oliveras Tempranillo 2018","Spain","Catalunya","Ramón Roqueta",3.2,106,6.5,"tinto","2018"
"209","Pannobile 2015","Austria","Burgenland","Pittnauer",3.9,106,22.13,"tinto","2015"
"210","Tempus 2018","Italy","Veneto","Stefano Accordini",3.8,106,10.42,"tinto","2018"
"211","Le Clos des Fées (Hervé Bizeul) 2013","France","Côtes du Roussillon","Domaine du Clos des Fées",4.1,106,52.53,"tinto","2013"
"212","Tío Martín Crianza 2016","Spain","Rioja","D. Mateos",3.8,106,15.69,"tinto","2016"
"213","Vigna Del Mandorlo Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","Elvio Cogno",3.4,106,11.5,"tinto","2017"
"214","Barolo Bussia 2015","Italy","Barolo","Prunotto",4.1,106,69,"tinto","2015"
"215","Tinto 2015","Spain","Rioja","Gran Familia",3.5,106,5.8,"tinto","2015"
"216","Finca Cuesta Clara Raro Reserva 2015","Spain","Rioja","Campillo",4.2,106,39.99,"tinto","2015"
"217","Fronsac 2005","France","Fronsac","Château la Vieille Cure",4,106,39.95,"tinto","2005"
"218","Ventoux 2016","France","Ventoux","Xavier Vignon",3.6,106,8.2,"tinto","2016"
"219","Hussonet Cabernet Sauvignon Gran Reserva 2015","Chile","Maipo Valley","Haras de Pirque",3.7,1060,15.95,"tinto","2015"
"220","Salice Salentino Riserva 2016","Italy","Salice Salentino","Marchese di Borgosole",3.9,1061,8.49,"tinto","2016"
"221","Chianti Classico 2016","Italy","Chianti Classico","Isole e Olena",3.9,1063,20.86,"tinto","2016"
"222","Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016","Italy","Südtirol - Alto Adige","J. Hofstätter",3.6,1064,13.48,"tinto","2016"
"223","Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Tenuta Il Poggione",4.2,1065,36.63,"tinto","2014"
"224","Cabernet Sauvignon 2015","United States","Columbia Valley","Columbia Winery",3.8,1065,17.75,"tinto","2015"
"225","Cabernet Sauvignon 2013","Mexico","Valle de Guadalupe","L. A. Cetto",3.4,1066,8.65,"tinto","2013"
